training_configuration	fold	n_features	scale_pos_weight	test_n	test_positives	average_precision	auroc
STRING900 only XGBoost on current features	1	4	6.368635437881874	905	123	0.2798240639429509	0.7427536231884058
STRING900 only XGBoost on current features	2	4	6.368635437881874	905	123	0.3583237557621366	0.8149366851724783
STRING900 only XGBoost on current features	3	4	6.368635437881874	905	123	0.3933460572445401	0.7959890212712869
STRING900 only XGBoost on current features	4	4	6.370672097759674	904	123	0.3498931683043571	0.7966178445395209
STRING900 only XGBoost on current features	5	4	6.355691056910569	904	122	0.3394657321028579	0.809719718250807
STRING900 only XGBoost on all STRING scores separately as features	1	14	6.368635437881874	905	123	0.34095796983497	0.7568201193520887
STRING900 only XGBoost on all STRING scores separately as features	2	14	6.368635437881874	905	123	0.4181420384158148	0.8158619757553073
STRING900 only XGBoost on all STRING scores separately as features	3	14	6.368635437881874	905	123	0.46503621427347336	0.8236853596157445
STRING900 only XGBoost on all STRING scores separately as features	4	14	6.370672097759674	904	123	0.4292858065283166	0.8118786629607653
STRING900 only XGBoost on all STRING scores separately as features	5	14	6.355691056910569	904	122	0.3978756944415627	0.8211290931197852
STRING900 only L2 model on all STRING scores separately as features	1	14		905	123	0.3071163482933399	0.7486380554342628
STRING900 only L2 model on all STRING scores separately as features	2	14		905	123	0.3581808921481875	0.8082829101948308
STRING900 only L2 model on all STRING scores separately as features	3	14		905	123	0.4260485111013195	0.8118697107687189
STRING900 only L2 model on all STRING scores separately as features	4	14		904	123	0.43457679308809605	0.8294921041399914
STRING900 only L2 model on all STRING scores separately as features	5	14		904	122	0.3683681502120099	0.8085090771875393
