cohort	taxa_bin	n	liberal	strict	duf_interacting	liberal_fraction	strict_fraction
STRING >=900, taxa >=10	1-4	0	0	0	0		
STRING >=900, taxa >=10	5-9	0	0	0	0		
STRING >=900, taxa >=10	10-19	1698	173	84	988	0.10188457008244994	0.04946996466431095
STRING >=900, taxa >=10	20-49	1427	176	96	844	0.12333566923615978	0.0672740014015417
STRING >=900, taxa >=10	50-99	763	120	64	459	0.15727391874180865	0.08387942332896461
STRING >=900, taxa >=10	100-249	462	103	57	311	0.22294372294372294	0.12337662337662338
STRING >=900, taxa >=10	250-499	128	35	19	62	0.2734375	0.1484375
STRING >=900, taxa >=10	>=500	42	7	5	22	0.16666666666666666	0.11904761904761904
STRING >=700, taxa >=50	1-4	0	0	0	0		
STRING >=700, taxa >=50	5-9	0	0	0	0		
STRING >=700, taxa >=50	10-19	0	0	0	0		
STRING >=700, taxa >=50	20-49	0	0	0	0		
STRING >=700, taxa >=50	50-99	2582	198	101	1515	0.0766847405112316	0.03911696359411309
STRING >=700, taxa >=50	100-249	1185	142	68	715	0.11983122362869199	0.05738396624472574
STRING >=700, taxa >=50	250-499	198	38	20	92	0.1919191919191919	0.10101010101010101
STRING >=700, taxa >=50	>=500	52	7	5	25	0.1346153846153846	0.09615384615384616
Fusion-supported	1-4	0	0	0	0		
Fusion-supported	5-9	1048	61	28	537	0.05820610687022901	0.026717557251908396
Fusion-supported	10-19	574	30	13	292	0.05226480836236934	0.02264808362369338
Fusion-supported	20-49	326	17	9	166	0.05214723926380368	0.027607361963190184
Fusion-supported	50-99	98	2	1	48	0.02040816326530612	0.01020408163265306
Fusion-supported	100-249	66	8	6	30	0.12121212121212122	0.09090909090909091
Fusion-supported	250-499	13	2	2	6	0.15384615384615385	0.15384615384615385
Fusion-supported	>=500	10	0	0	9	0.0	0.0
L2 model	1-4	3783	913	460	1504	0.24134284959027227	0.12159661644197726
L2 model	5-9	1655	313	142	868	0.18912386706948642	0.08580060422960725
L2 model	10-19	1658	323	159	956	0.1948130277442702	0.09589867310012062
L2 model	20-49	2151	317	146	1233	0.14737331473733148	0.06787540678754068
L2 model	50-99	1364	240	129	741	0.17595307917888564	0.09457478005865103
L2 model	100-249	1065	212	119	618	0.19906103286384977	0.11173708920187793
L2 model	250-499	312	82	37	138	0.26282051282051283	0.11858974358974358
L2 model	>=500	310	33	16	71	0.1064516129032258	0.05161290322580645
