cohort	distance_bin	n	liberal	strict	liberal_fraction	strict_fraction
Fusion-supported	1	171	54	35	0.3157894736842105	0.2046783625730994
Fusion-supported	2-5	143	19	8	0.13286713286713286	0.055944055944055944
Fusion-supported	6-20	68	8	4	0.11764705882352941	0.058823529411764705
Fusion-supported	21-100	66	4	2	0.06060606060606061	0.030303030303030304
Fusion-supported	101-1000	452	10	4	0.022123893805309734	0.008849557522123894
Fusion-supported	>1000	1226	25	6	0.020391517128874388	0.004893964110929853
Fusion-supported	different replicon	9	0	0	0.0	0.0
Fusion-supported	not locus-parsed	0	0	0		
L2 model	1	2054	697	404	0.3393378773125609	0.1966893865628043
L2 model	2-5	2248	454	225	0.20195729537366547	0.10008896797153025
L2 model	6-20	943	141	60	0.14952279957582185	0.06362672322375397
L2 model	21-100	258	27	9	0.10465116279069768	0.03488372093023256
L2 model	101-1000	382	44	16	0.11518324607329843	0.041884816753926704
L2 model	>1000	1879	228	54	0.12134113890367217	0.028738690792974985
L2 model	different replicon	1134	156	74	0.13756613756613756	0.06525573192239859
L2 model	not locus-parsed	3400	686	366	0.20176470588235293	0.10764705882352942
STRING >=700, taxa >=50	1	740	172	104	0.23243243243243245	0.14054054054054055
STRING >=700, taxa >=50	2-5	747	104	55	0.1392235609103079	0.07362784471218206
STRING >=700, taxa >=50	6-20	372	30	16	0.08064516129032258	0.043010752688172046
STRING >=700, taxa >=50	21-100	142	4	1	0.028169014084507043	0.007042253521126761
STRING >=700, taxa >=50	101-1000	568	21	5	0.03697183098591549	0.008802816901408451
STRING >=700, taxa >=50	>1000	1442	54	13	0.03744798890429958	0.009015256588072122
STRING >=700, taxa >=50	different replicon	6	0	0	0.0	0.0
STRING >=700, taxa >=50	not locus-parsed	0	0	0		
STRING >=900, taxa >=10	1	928	289	174	0.3114224137931034	0.1875
STRING >=900, taxa >=10	2-5	957	201	106	0.21003134796238246	0.11076280041797283
STRING >=900, taxa >=10	6-20	430	53	21	0.12325581395348838	0.04883720930232558
STRING >=900, taxa >=10	21-100	126	8	3	0.06349206349206349	0.023809523809523808
STRING >=900, taxa >=10	101-1000	474	12	3	0.02531645569620253	0.006329113924050633
STRING >=900, taxa >=10	>1000	1602	50	18	0.031210986267166042	0.011235955056179775
STRING >=900, taxa >=10	different replicon	3	1	0	0.3333333333333333	0.0
STRING >=900, taxa >=10	not locus-parsed	0	0	0		
