cohort	partner_function_class	n_pairs	cohort_total	pair_fraction
STRING >=900, taxa >=10	DNA / chromosome	62	614	0.10097719869706841
STRING >=900, taxa >=10	cell envelope / division	21	614	0.03420195439739414
STRING >=900, taxa >=10	metabolism / enzyme	100	614	0.16286644951140064
STRING >=900, taxa >=10	other / unclear	116	614	0.18892508143322476
STRING >=900, taxa >=10	regulation / signaling	18	614	0.029315960912052116
STRING >=900, taxa >=10	stress / defense	14	614	0.02280130293159609
STRING >=900, taxa >=10	translation / RNA	26	614	0.04234527687296417
STRING >=900, taxa >=10	transport / membrane	171	614	0.2785016286644951
STRING >=900, taxa >=10	unknown-function protein	86	614	0.14006514657980457
STRING >=700, taxa >=50	DNA / chromosome	31	385	0.08051948051948052
STRING >=700, taxa >=50	cell envelope / division	16	385	0.04155844155844156
STRING >=700, taxa >=50	metabolism / enzyme	51	385	0.13246753246753246
STRING >=700, taxa >=50	other / unclear	117	385	0.3038961038961039
STRING >=700, taxa >=50	regulation / signaling	19	385	0.04935064935064935
STRING >=700, taxa >=50	stress / defense	6	385	0.015584415584415584
STRING >=700, taxa >=50	translation / RNA	16	385	0.04155844155844156
STRING >=700, taxa >=50	transport / membrane	84	385	0.21818181818181817
STRING >=700, taxa >=50	unknown-function protein	45	385	0.11688311688311688
Fusion-supported	DNA / chromosome	23	120	0.19166666666666668
Fusion-supported	cell envelope / division	4	120	0.03333333333333333
Fusion-supported	metabolism / enzyme	30	120	0.25
Fusion-supported	other / unclear	22	120	0.18333333333333332
Fusion-supported	regulation / signaling	3	120	0.025
Fusion-supported	stress / defense	2	120	0.016666666666666666
Fusion-supported	translation / RNA	1	120	0.008333333333333333
Fusion-supported	transport / membrane	31	120	0.25833333333333336
Fusion-supported	unknown-function protein	4	120	0.03333333333333333
L2 model	DNA / chromosome	209	2433	0.08590217838060009
L2 model	cell envelope / division	70	2433	0.02877106452938759
L2 model	metabolism / enzyme	295	2433	0.12124948623099055
L2 model	other / unclear	1085	2433	0.4459515002055076
L2 model	regulation / signaling	36	2433	0.014796547472256474
L2 model	stress / defense	37	2433	0.015207562679819153
L2 model	translation / RNA	107	2433	0.04397862720920674
L2 model	transport / membrane	505	2433	0.2075626798191533
L2 model	unknown-function protein	89	2433	0.0365803534730785
