score_bin	n	liberal	liberal_fraction	channel	source_column
0-99	0	0		Combined	max_combined
100-199	0	0		Combined	max_combined
200-299	0	0		Combined	max_combined
300-399	0	0		Combined	max_combined
400-499	0	0		Combined	max_combined
500-599	0	0		Combined	max_combined
600-699	0	0		Combined	max_combined
700-799	0	0		Combined	max_combined
800-899	0	0		Combined	max_combined
900-949	4107	639	0.1555880204528853	Combined	max_combined
950-1000	8191	1794	0.21902087657184716	Combined	max_combined
0-99	3312	433	0.1307367149758454	Neighborhood	max_neighborhood
100-199	26	1	0.038461538461538464	Neighborhood	max_neighborhood
200-299	41	6	0.14634146341463414	Neighborhood	max_neighborhood
300-399	67	9	0.13432835820895522	Neighborhood	max_neighborhood
400-499	119	22	0.18487394957983194	Neighborhood	max_neighborhood
500-599	338	66	0.1952662721893491	Neighborhood	max_neighborhood
600-699	672	108	0.16071428571428573	Neighborhood	max_neighborhood
700-799	7723	1788	0.2315162501618542	Neighborhood	max_neighborhood
800-899	0	0		Neighborhood	max_neighborhood
900-949	0	0		Neighborhood	max_neighborhood
950-1000	0	0		Neighborhood	max_neighborhood
0-99	3005	650	0.21630615640599002	Neighborhood transferred	max_neighborhood_transferred
100-199	2792	529	0.18946991404011462	Neighborhood transferred	max_neighborhood_transferred
200-299	2049	328	0.1600780868716447	Neighborhood transferred	max_neighborhood_transferred
300-399	1418	293	0.2066290550070522	Neighborhood transferred	max_neighborhood_transferred
400-499	1114	238	0.21364452423698385	Neighborhood transferred	max_neighborhood_transferred
500-599	1308	261	0.19954128440366972	Neighborhood transferred	max_neighborhood_transferred
600-699	317	77	0.24290220820189273	Neighborhood transferred	max_neighborhood_transferred
700-799	109	28	0.25688073394495414	Neighborhood transferred	max_neighborhood_transferred
800-899	107	24	0.22429906542056074	Neighborhood transferred	max_neighborhood_transferred
900-949	39	3	0.07692307692307693	Neighborhood transferred	max_neighborhood_transferred
950-1000	40	2	0.05	Neighborhood transferred	max_neighborhood_transferred
0-99	9929	1700	0.1712156309799577	Fusion	max_fusion
100-199	171	30	0.17543859649122806	Fusion	max_fusion
200-299	97	23	0.23711340206185566	Fusion	max_fusion
300-399	97	18	0.18556701030927836	Fusion	max_fusion
400-499	96	25	0.2604166666666667	Fusion	max_fusion
500-599	156	33	0.21153846153846154	Fusion	max_fusion
600-699	245	46	0.18775510204081633	Fusion	max_fusion
700-799	226	59	0.2610619469026549	Fusion	max_fusion
800-899	707	238	0.33663366336633666	Fusion	max_fusion
900-949	574	261	0.4547038327526132	Fusion	max_fusion
950-1000	0	0		Fusion	max_fusion
0-99	1421	168	0.11822660098522167	Phyletic co-occurrence	max_cooccurence
100-199	393	40	0.10178117048346055	Phyletic co-occurrence	max_cooccurence
200-299	679	88	0.12960235640648013	Phyletic co-occurrence	max_cooccurence
300-399	715	104	0.14545454545454545	Phyletic co-occurrence	max_cooccurence
400-499	266	34	0.12781954887218044	Phyletic co-occurrence	max_cooccurence
500-599	431	70	0.16241299303944315	Phyletic co-occurrence	max_cooccurence
600-699	731	81	0.11080711354309165	Phyletic co-occurrence	max_cooccurence
700-799	7662	1848	0.24119028974158183	Phyletic co-occurrence	max_cooccurence
800-899	0	0		Phyletic co-occurrence	max_cooccurence
