score_bin	n	strict	strict_fraction	channel	source_column
0-99	0	0		Combined	max_combined
100-199	0	0		Combined	max_combined
200-299	0	0		Combined	max_combined
300-399	0	0		Combined	max_combined
400-499	0	0		Combined	max_combined
500-599	0	0		Combined	max_combined
600-699	0	0		Combined	max_combined
700-799	0	0		Combined	max_combined
800-899	0	0		Combined	max_combined
900-949	4107	329	0.08010713416118821	Combined	max_combined
950-1000	8191	879	0.10731290440727628	Combined	max_combined
0-99	3312	140	0.042270531400966184	Neighborhood	max_neighborhood
100-199	26	0	0.0	Neighborhood	max_neighborhood
200-299	41	1	0.024390243902439025	Neighborhood	max_neighborhood
300-399	67	1	0.014925373134328358	Neighborhood	max_neighborhood
400-499	119	12	0.10084033613445378	Neighborhood	max_neighborhood
500-599	338	37	0.10946745562130178	Neighborhood	max_neighborhood
600-699	672	63	0.09375	Neighborhood	max_neighborhood
700-799	7723	954	0.12352712676421079	Neighborhood	max_neighborhood
800-899	0	0		Neighborhood	max_neighborhood
900-949	0	0		Neighborhood	max_neighborhood
950-1000	0	0		Neighborhood	max_neighborhood
0-99	3005	382	0.1271214642262895	Neighborhood transferred	max_neighborhood_transferred
100-199	2792	267	0.09563037249283668	Neighborhood transferred	max_neighborhood_transferred
200-299	2049	136	0.06637384089799903	Neighborhood transferred	max_neighborhood_transferred
300-399	1418	102	0.07193229901269393	Neighborhood transferred	max_neighborhood_transferred
400-499	1114	115	0.10323159784560143	Neighborhood transferred	max_neighborhood_transferred
500-599	1308	140	0.10703363914373089	Neighborhood transferred	max_neighborhood_transferred
600-699	317	37	0.1167192429022082	Neighborhood transferred	max_neighborhood_transferred
700-799	109	16	0.14678899082568808	Neighborhood transferred	max_neighborhood_transferred
800-899	107	9	0.08411214953271028	Neighborhood transferred	max_neighborhood_transferred
900-949	39	2	0.05128205128205128	Neighborhood transferred	max_neighborhood_transferred
950-1000	40	2	0.05	Neighborhood transferred	max_neighborhood_transferred
0-99	9929	750	0.07553630778527545	Fusion	max_fusion
100-199	171	8	0.04678362573099415	Fusion	max_fusion
200-299	97	10	0.10309278350515463	Fusion	max_fusion
300-399	97	14	0.14432989690721648	Fusion	max_fusion
400-499	96	14	0.14583333333333334	Fusion	max_fusion
500-599	156	19	0.12179487179487179	Fusion	max_fusion
600-699	245	25	0.10204081632653061	Fusion	max_fusion
700-799	226	33	0.14601769911504425	Fusion	max_fusion
800-899	707	151	0.21357850070721357	Fusion	max_fusion
900-949	574	184	0.3205574912891986	Fusion	max_fusion
950-1000	0	0		Fusion	max_fusion
0-99	1421	69	0.048557353976073185	Phyletic co-occurrence	max_cooccurence
100-199	393	9	0.022900763358778626	Phyletic co-occurrence	max_cooccurence
200-299	679	13	0.01914580265095729	Phyletic co-occurrence	max_cooccurence
300-399	715	18	0.025174825174825177	Phyletic co-occurrence	max_cooccurence
400-499	266	16	0.06015037593984962	Phyletic co-occurrence	max_cooccurence
500-599	431	44	0.10208816705336426	Phyletic co-occurrence	max_cooccurence
600-699	731	32	0.04377564979480164	Phyletic co-occurrence	max_cooccurence
700-799	7662	1007	0.131427825632994	Phyletic co-occurrence	max_cooccurence
800-899	0	0		Phyletic co-occurrence	max_cooccurence
