duf_pfam_id	duf_pfam_name	partner_architecture	n_edges	n_taxa	n_duf_proteins	n_partner_proteins	max_combined	mean_combined	max_direct_evidence	max_context_evidence	n_experiment_edges	max_neighborhood	n_neighborhood_edges	max_neighborhood_transferred	n_neighborhood_transferred_edges	max_fusion	n_fusion_edges	max_cooccurence	n_cooccurence_edges	max_homology	n_homology_edges	max_coexpression	n_coexpression_edges	max_coexpression_transferred	n_coexpression_transferred_edges	max_experiments	n_experiments_edges	max_experiments_transferred	n_experiments_transferred_edges	max_database	n_database_edges	max_database_transferred	n_database_transferred_edges	max_textmining	n_textmining_edges	max_textmining_transferred	n_textmining_transferred_edges	module_score	module_key	separate_channel_l2_score	taxid	duf_protein	partner_protein	duf_architecture	combined_score	direct_evidence	context_evidence	neighborhood	neighborhood_transferred	fusion	cooccurence	homology	coexpression	coexpression_transferred	experiments	experiments_transferred	database	database_transferred	textmining	textmining_transferred	evidence_flags	_pair_key	has_representative	has_sequence
PF11882	DUF3402 - Domain of unknown function (DUF3402)	NO_PFAM	2570	346	444	942	998	830.7182879377432	994	816	10	0	0	45	4	816	6	431	24	973	18	79	24	853	24	994	10	996	2536	900	2	780	4	974	66	905	2518	22.55964740355879	PF11882 || NO_PFAM	0.9935456869404452	9601	9601.ENSPPYP00000001226	9601.ENSPPYP00000011577	PF07923;PF11882	998	0	0	0	0	0	0	0	0	0	0	995	0	0	0	696	experiments_transferred;textmining_transferred	9601.ENSPPYP00000001226 || 9601.ENSPPYP00000011577	True	False
PF07469	DUF1518 - Nuclear receptor coactivator, DUF1518	NO_PFAM	2120	71	135	647	999	840.5547169811321	900	726	8	0	0	0	0	726	2	386	46	885	130	310	120	162	724	900	8	999	2022	900	400	957	1920	814	272	833	2086	18.937587481264902	PF07469 || NO_PFAM	0.9905387000686392	9986	9986.ENSOCUP00000037443	9986.ENSOCUP00000004174	PF00989;PF07469;PF08815;PF08832;PF14598;PF16279;PF16665;PF23172	999	900	0	0	0	0	0	0	0	0	0	841	900	628	714	633	experiments_transferred;database;database_transferred;textmining;textmining_transferred	9986.ENSOCUP00000004174 || 9986.ENSOCUP00000037443	True	False
PF11934	DUF3452 - Domain of unknown function (DUF3452)	NO_PFAM	10012	279	483	3182	999	817.656811825809	900	900	8	0	0	127	12	900	6	276	56	985	88	208	94	779	6600	820	8	998	9420	900	754	992	8970	925	308	885	9194	23.37983102271441	PF11934 || NO_PFAM	0.9859961829556526	9986	9986.ENSOCUP00000041017	9986.ENSOCUP00000010738	PF01857;PF01858;PF08934;PF11934	999	900	0	0	0	0	0	0	0	67	0	966	900	428	183	627	coexpression_transferred;experiments_transferred;database;database_transferred;textmining;textmining_transferred	9986.ENSOCUP00000010738 || 9986.ENSOCUP00000041017	True	False
PF06465	DUF1087 - CHD subfamily II, DUF1087	NO_PFAM	5456	223	437	1628	999	786.9934017595308	900	894	2	0	0	207	180	894	10	248	54	973	66	323	54	654	2792	790	2	928	5438	900	222	978	5104	983	96	909	5270	21.77125271523036	PF06465 || NO_PFAM	0.98452537777561	10090	10090.ENSMUSP00000060054	10090.ENSMUSP00000104301	PF00176;PF00271;PF00385;PF00628;PF06461;PF06465;PF08073;PF08074	999	900	55	0	0	0	55	971	61	109	0	537	900	0	981	58	cooccurence;homology;coexpression;coexpression_transferred;experiments_transferred;database;textmining;textmining_transferred	10090.ENSMUSP00000060054 || 10090.ENSMUSP00000104301	True	False
PF12969	DUF3857 - Domain of Unknown Function with PDB structure (DUF3857)	NO_PFAM	718	137	176	304	994	766.1281337047354	900	900	0	773	210	378	280	900	10	775	608	963	26	51	8	260	34	0	0	273	28	0	0	129	14	696	2	93	22	18.232368728035453	PF12969 || NO_PFAM	0.9821115550488272	319236	319236.BST91_05020	319236.BST91_05015	PF01841;PF09976;PF12969	994	900	900	773	0	900	775	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	319236.BST91_05015 || 319236.BST91_05020	True	False
PF12157	DUF3591 - Protein of unknown function (DUF3591)	NO_PFAM	21250	726	807	8801	999	821.5813647058824	900	900	4	0	0	0	0	900	28	497	132	957	26	312	66	547	6396	616	4	999	20962	900	1206	999	18834	962	188	847	18654	25.746731143352942	PF12157 || NO_PFAM	0.9809304858013754	44689	44689.Q54DH8	44689.C7G081	PF00439;PF12157	999	800	0	0	0	0	0	555	0	171	0	985	800	0	416	694	homology;coexpression_transferred;experiments_transferred;database;textmining;textmining_transferred	44689.C7G081 || 44689.Q54DH8	True	False
PF16279	DUF4927 - Domain of unknown function (DUF4927)	NO_PFAM	2290	70	154	586	999	808.5056768558952	900	220	2	0	0	0	0	0	0	220	38	885	138	310	86	162	810	900	2	999	2198	900	256	957	2172	814	198	833	2254	17.931409580870177	PF16279 || NO_PFAM	0.980906897110761	9598	9598.ENSPTRP00000023375	9598.ENSPTRP00000024841	PF00989;PF07469;PF08815;PF08832;PF14598;PF16279;PF16665;PF23172	999	800	0	0	0	0	0	0	0	104	0	822	800	861	0	833	coexpression_transferred;experiments_transferred;database;database_transferred;textmining_transferred	9598.ENSPTRP00000023375 || 9598.ENSPTRP00000024841	True	False
PF14644	DUF4456 - Domain of unknown function (DUF4456)	NO_PFAM	254	33	34	126	994	825.6850393700787	900	900	26	0	0	0	0	900	24	512	22	657	4	0	0	367	48	800	26	941	196	0	0	937	58	576	2	707	104	16.041903027392912	PF14644 || NO_PFAM	0.9789921018373192	52904	52904.ENSSMAP00000028689	52904.ENSSMAP00000008891	PF00069;PF00619;PF14643;PF14644	994	0	0	0	0	0	0	0	0	0	0	917	0	842	0	608	experiments_transferred;database_transferred;textmining_transferred	52904.ENSSMAP00000008891 || 52904.ENSSMAP00000028689	True	False
PF14643	DUF4455 - Domain of unknown function (DUF4455)	NO_PFAM	268	37	39	132	994	822.0	899	899	26	0	0	0	0	899	28	490	22	657	4	0	0	367	56	800	26	941	204	0	0	937	68	576	2	707	114	16.315802132056778	PF14643 || NO_PFAM	0.9781882103625578	52904	52904.ENSSMAP00000028689	52904.ENSSMAP00000016430	PF00069;PF00619;PF14643;PF14644	994	0	0	0	0	0	0	657	0	171	0	932	0	842	0	443	homology;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	52904.ENSSMAP00000016430 || 52904.ENSSMAP00000028689	True	False
PF07853	DUF1648 - Domain of unknown function (DUF1648)	NO_PFAM	132	52	53	66	994	758.5151515151515	899	899	0	773	90	254	36	899	2	774	42	677	2	794	6	61	4	0	0	0	0	0	0	0	0	889	4	0	0	14.628932955326	PF07853 || NO_PFAM	0.9778817600312832	35841	35841.B4167_1910	35841.B4167_1911	PF07853;PF19124	994	899	899	773	0	899	774	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	35841.B4167_1910 || 35841.B4167_1911	True	False
